:START_ID,:END_ID,:TYPE,evidence,evidence_location,references
e28,e53,ASSOCIATED_WITH,"Several other epitopes originate from the pre-proinsulin signal sequence, which becomes an abundant by-product of proinsulin biosynthesis upon its translocation into the ER.",180,"Kronenberg-Versteeg D, Eichmann M, Russell MA et al (2018) Molecular pathways for immune recognition of preproinsulin signal peptide in type 1 diabetes. Diabetes 67(4):687-696. https://doi.org/10.2337/db17-0021"
e4,e34,EXPRESSES,APCs in driving disease progression via the uptake of beta cell material and the priming of CD4+ T cells.,149,
e10,e64,LOCATED_IN,even for naive and non-islet-reactive T cells.,237,"Magnuson AM, Thurber GM, Kohler RH, Weissleder R, Mathis D, Benoist C (2015) Population dynamics of islet-infiltrating cells in autoimmune diabetes. Proc Natl Acad Sci U S A 112(5):1511-1516. https://doi.org/10.1073/pnas.1423769112 | Christoffersson G, Chodaczek G, Ratliff SS, Coppieters K, von Herrath MG (2018) Suppression of diabetes by accumulation of non-islet-specific CD8+ effector T cells in pancreatic islets. Sci Immunol 3(21):eaam6533. https://doi.org/10.1126/sciimmunol.aam6533"
e46,e11,ASSOCIATED_WITH,"Glucagon-like peptide 1 (GLP-1) agonists have also been shown to have beneficial effects on beta cells in rodent models, but whether the benefits observed in some trials on type 1 diabetic patients reflect an improvement in residual insulin secretion is currently debated.",485,"Kielgast U, Holst JJ, Madsbad S (2011) Antidiabetic actions of endogenous and exogenous GLP-1 in type 1 diabetic patients with and without residual beta-cell function. Diabetes 60(5):1599-1607. https://doi.org/10.2337/db10-1790"
e44,e53,ASSOCIATED_WITH,"exosomes carrying antigens such as proinsulin, GAD65 and islet antigen 2 (IA-2), which are endocytosed more efficiently than soluble proteins/peptides and may further feed distant APCs.",420,"Cianciaruso C, Phelps EA, Pasquier M et al (2017) Primary human and rat beta-cells release the intracellular autoantigens GAD65, IA-2, and proinsulin in exosomes together with cytokine-induced enhancers of immunity. Diabetes 66(2):460-473. https://doi.org/10.2337/db16-0671"
e69,e64,LOCATED_IN,"transpeptidation process may also generate CD4+ T cell epitopes and take place in the insulin granules and, more likely, in the crinosomes (formed from the fusion of granules and lysosomes).",215,"Wan X, Vomund AN, Peterson OJ, Chervonsky AV, Lichti CF, Unanue ER (2020) The MHC-II peptidome of pancreatic islets identifies key features of autoimmune peptides. Nat Immunol 21(4):455-463. https://doi.org/10.1038/s41590-020-0623-7"
e72,e11,TRIGGERS,"islet-tropic CVB infections, which are candidate environmental triggers for type 1 diabetes.",159,"Op de Beeck A, Eizirik DL (2016) Viral infections in type 1 diabetes mellitus - why the beta cells? Nat Rev Endocrinol 12(5):263-273. https://doi.org/10.1038/nrendo.2016.30 | Eizirik DL, Colli ML, Ortis F (2009) The role of inflammation in insulitis and beta-cell loss in type 1 diabetes. Nat Rev Endocrinol 5(4):219-226. https://doi.org/10.1038/nrendo.2009.21"
e51,e52,TRIGGERS,Islet inflammation may also lead to the increased generation of neoepitopes that are not encoded in the genome.,206,"James EA, Pietropaolo M, Mamula MJ (2018) Immune recognition of beta-cells: neoepitopes as key players in the loss of tolerance. Diabetes 67(6):1035-1042. https://doi.org/10.2337/dbi17-0030"
e38,e51,TRIGGERS,"followed by an amplification stage triggered by other cytokines, e.g. IFN-gamma, TNF-alpha and IL-1beta.",275,
e39,e51,TRIGGERS,"followed by an amplification stage triggered by other cytokines, e.g. IFN-gamma, TNF-alpha and IL-1beta.",275,
e40,e51,TRIGGERS,"followed by an amplification stage triggered by other cytokines, e.g. IFN-gamma, TNF-alpha and IL-1beta.",275,
e27,e53,ASSOCIATED_WITH,"impaired proinsulin processing that affects stressed beta cells, which may promote their immunogenicity by further favouring ER stress and HLA Class I (HLA-I) presentation of proinsulin peptides.",87,"Rodriguez-Calvo T, Zapardiel-Gonzalo J, Amirian N et al (2017) Increase in pancreatic proinsulin and preservation of beta-cell mass in autoantibody-positive donors prior to type 1 diabetes onset. Diabetes 66(5):1334-1345. https://doi.org/10.2337/db16-1343 | Wasserfall C, Nick HS, Campbell-Thompson M et al (2017) Persistence of pancreatic insulin mRNA expression and proinsulin protein in type 1 diabetes pancreata. Cell Metab 26(3):568-575. https://doi.org/10.1016/j.cmet.2017.08.013"
e74,e13,ASSOCIATED_WITH,"Beta cell-derived microRNAs released into the bloodstream, either in soluble form or associated with exosomes, may exert additional immunomodulatory effects.",423,"Ventriglia G, Mancarella F, Sebastiani G et al (2020) miR-409-3p is reduced in plasma and islet immune infiltrates of NOD diabetic mice and is differentially expressed in people with type 1 diabetes. Diabetologia 63(1):124-136. https://doi.org/10.1007/s00125-019-05026-1"
e89,e11,BIOMARKER_FOR,"Other products released by beta cells (e.g. GAD65, IAPP, microRNAs) are under scrutiny.",451,"Sims EK, Evans-Molina C, Tersey SA, Eizirik DL, Mirmira RG (2018) Biomarkers of islet beta cell stress and death in type 1 diabetes. Diabetologia 61(11):2259-2265. https://doi.org/10.1007/s00125-018-4712-1"
e19,e51,ASSOCIATED_WITH,"TYK2 and PTPN2, which encode key interferon signalling transducers in beta cells.",157,"Op de Beeck A, Eizirik DL (2016) Viral infections in type 1 diabetes mellitus - why the beta cells? Nat Rev Endocrinol 12(5):263-273. https://doi.org/10.1038/nrendo.2016.30"
e20,e51,ASSOCIATED_WITH,"TYK2 and PTPN2, which encode key interferon signalling transducers in beta cells.",157,"Op de Beeck A, Eizirik DL (2016) Viral infections in type 1 diabetes mellitus - why the beta cells? Nat Rev Endocrinol 12(5):263-273. https://doi.org/10.1038/nrendo.2016.30"
